@relation sheep_weight

@attribute Eucl_A_B real
@attribute Eucl_A_C real
@attribute Eucl_A_D real
@attribute Eucl_B_C real
@attribute Eucl_B_D real
@attribute Eucl_C_D real
@attribute EquivalentDiameter real
@attribute AspectRatio real
@attribute Extent real
@attribute Solidity real
@attribute Area real
@attribute Perimeter real
@attribute K_0_19 real
@attribute K_20_39 real
@attribute K_40_59 real
@attribute K_60_79 real
@attribute K_80_99 real
@attribute K_100_119 real
@attribute K_120_139 real
@attribute K_140_159 real
@attribute K_160_180 real
@attribute Hu_0 real
@attribute Hu_1 real
@attribute Hu_2 real
@attribute Hu_3 real
@attribute Hu_4 real
@attribute Hu_5 real
@attribute Hu_6 real
@attribute Major_axis real
@attribute Minor_axis real
@attribute Weight real
@data
1059.0018885724426,397.54873915030845,951.6060109099774,793.5452098021889,117.90250209389112,709.7048682374949,625.3501369392653,2.5439024390243903,0.7182377288777682,0.925986502436767,307140.0,2790.4002680778503,0,0,24,24,21,138,359,822,3084,0.001024070350567178,6.25091451178088e-07,6.799432048786547e-11,2.641574021463447e-11,1.0992223715852354e-21,1.8675915193868928e-14,-2.121965055726103e-22,1068.4511852170765,383.21550485365077,44.1
1078.154441626987,961.5196305848362,457.21439172449504,222.82953125651906,797.2314594896516,772.8757985601568,633.6278556405291,1.949090909090909,0.534811736770692,0.8522700397991797,315325.0,2907.1597154140472,0,0,1,87,79,99,208,804,3237,0.000986923747365778,5.093004171566275e-07,1.121997554441356e-10,2.622143644360331e-11,1.1089991543883839e-21,7.670374470500855e-15,8.904830229957824e-22,1047.9879629339957,420.10211639880106,44.1
1045.1449660214605,455.8826603414523,826.9171663473918,719.767323515037,262.6175927084855,589.8788011108722,622.3289870299868,2.3613636363636363,0.665367704961064,0.8868930991451197,304179.5,2917.5201061964035,0,40,39,33,96,108,253,851,3373,0.001016114987013571,5.873894497968382e-07,1.0183684330028139e-10,3.4365486680185375e-11,1.9534161877559324e-21,2.1507354646755815e-14,-5.632335225139097e-22,1053.9113527857703,394.4541585206847,44.1
1122.2566551373175,988.3815052903408,367.76351096866586,353.3751547576598,818.590251591112,782.010230112113,629.5177719492576,2.404710920770878,0.5934843004265494,0.8339551763913097,311247.5,3035.2358354330063,0,0,0,29,160,154,207,834,3485,0.001139448675798729,8.456795198184375e-07,1.353094600387258e-10,7.968288235584739e-11,8.253118259884018e-21,7.228681702275755e-14,5.864220429323925e-22,1145.8591945994121,374.412849331242,44.1
1063.7523207965282,826.3776376451628,462.78828852943116,323.130004796831,750.6490524872459,643.3078578721078,631.2608309202864,2.1714285714285713,0.6003020945220193,0.871102148854181,312973.5,2889.0104397535324,0,0,0,66,77,65,375,656,3515,0.0009390152996271633,4.368795782274967e-07,4.2162217428887105e-11,9.609848038255765e-12,1.3873253503242114e-22,1.7453622990785825e-15,1.347984859220404e-22,1012.7596641976563,422.1894737480855,44.1
1001.0978973107475,911.2639573691039,472.01694884823786,284.33958570695006,634.7574339856131,673.3513198917783,623.5594185878605,2.313953488372093,0.7137630010517705,0.8905204314620896,305383.5,2808.975949883461,0,0,6,36,97,163,317,863,3000,0.0009453214545942052,4.514862196479305e-07,6.893007059378185e-11,1.6262278017781217e-11,4.523875914629734e-22,5.659189187293238e-15,3.0297925924620673e-22,1005.7423340657805,413.516633733637,44.1
1145.0921360309833,389.81662355523014,1041.2343636280932,847.9982311302306,235.47611343828487,811.5417426109393,641.4292193117325,2.5615212527964206,0.6313560563875619,0.8822120175493678,323137.5,3142.0053874254227,0,33,19,45,76,146,262,836,3529,0.0011170985170626928,7.861624960078936e-07,1.5383088360416525e-10,5.859107077212664e-11,5.326240067632464e-21,4.084690968075996e-14,-1.60387519790247e-21,1151.750200749537,390.5846681101483,44.1
981.3933971654792,422.0580528789849,821.5229759416349,734.9258465995056,213.44085831911377,656.4792456734638,610.6752190941277,1.8442307692307693,0.5873385738349242,0.8643905980471869,292894.0,2889.277465581894,0,0,0,18,187,189,201,999,3178,0.0009121924807041558,3.4063553943641925e-07,9.653332321712386e-11,1.1535860182014135e-11,-2.764661207984107e-23,-3.670246227748479e-15,-3.8396419163685815e-22,947.4197906579393,444.02091168406287,44.1
1073.3037780609925,959.25439795708,453.5339017096737,222.19360926903366,791.794165171732,769.3373772279623,632.9870213786745,1.9506398537477148,0.5391725163582907,0.8538691550239728,314687.5,2894.549543738365,0,0,16,83,60,118,163,682,3474,0.0009720109982939513,4.796723838457736e-07,1.0794851309087896e-10,2.3893692691968273e-11,9.121847864578213e-22,5.939023622834671e-15,8.002854679746346e-22,1035.8062713657819,424.3835739470746,44.1
1050.6022082596248,407.7952917825315,916.111892729267,805.73568867216,184.35834670553976,731.2359400357726,624.3251675112532,2.023529411764706,0.5816499468004256,0.8854495521904561,306134.0,2935.787132024765,0,35,38,65,130,91,212,787,3359,0.0009692475763330682,4.806253314948247e-07,9.594752905266171e-11,1.8786941113701105e-11,5.197377658759094e-22,2.999258471195782e-15,-6.05049494022436e-22,1021.0611280076932,416.01038230818733,44.1
1067.6872201164533,408.9425387508617,419.6724913548659,725.2378920050993,760.9894874438148,422.01066337238444,627.0012239147607,2.5224586288416075,0.6841035935135519,0.8773598845205215,308764.0,3020.189152956009,0,0,55,43,84,161,255,815,3338,0.0010354103210150915,6.381136926235882e-07,8.109232414664052e-11,3.755902127041064e-11,2.0640254471369407e-21,2.879583610992412e-14,1.907234756755975e-22,1077.1550391830367,386.856212354342,44.1
1128.064714455691,974.5732399363324,387.76926128820475,289.932750823359,830.2800732283052,761.4683184479837,647.0204268266731,2.4206008583690988,0.6255050908592823,0.8168954071365039,328795.5,3226.573928952217,0,0,0,17,161,167,314,978,3624,0.0011479661864558536,8.624343021605998e-07,1.0543524158625109e-10,6.621739342798995e-11,5.5220757887500925e-21,6.042910882550882e-14,3.45554022821582e-22,1182.747598317177,384.34715681496783,44.1
1156.0211935773495,405.34553161469535,1065.307467353909,843.0290623697382,233.60008561642266,821.3312364691848,640.971015988214,2.696969696969697,0.6500937840609405,0.8882050152770514,322676.0,3087.1597154140472,0,0,37,50,116,126,198,799,3579,0.001140300037237415,8.4434898617199e-07,1.6460268345435212e-10,7.126278403562858e-11,7.562900538978285e-21,5.732235192777421e-14,-1.540199757604024e-21,1166.677043078461,382.5664754445655,44.1
1138.1937444916837,1040.2970729556052,413.84175719712,347.85772953895963,808.8572185497264,823.3498648812666,647.042072821354,2.2159533073929962,0.5616529961772734,0.8258571453687401,328817.5,3166.348533272743,0,0,12,61,120,160,213,660,3718,0.001145254253106354,8.517940138115564e-07,1.4276313312262702e-10,7.618036080116416e-11,7.882535763136643e-21,6.560392006109937e-14,9.911887966189248e-22,1180.3381720881318,386.9979297750343,44.1
1074.7325248637449,419.61172528898663,923.7315627388728,803.6441998795239,217.46264046957583,725.6293819850462,626.6935002124668,2.015267175572519,0.5574488925514689,0.8705005517159636,308461.0,3017.385111093521,0,25,27,86,124,143,208,698,3455,0.0009864869524830316,5.057381111121233e-07,1.0768346884884851e-10,2.38326328800182e-11,8.924178562711618e-22,5.699171420402464e-15,-8.131913317416911e-22,1035.7460990359684,417.11970377279533,44.1
